Id,AC#,Artist,Title,Date,Medium,Dimensions,Category
2397,661678,"STEWART, Marie","Backyard Blossoms",1991,"watercolour on paper","sight: 44 x 49 cm / 17 3/8"" x 19 1/4""; frame: 74 x 82 cm / 29 1/8"" x 32 1/4""","work on paper"
2398,623086,"STOCKTON, S.","Untitled [vegetable still life]",n.d.,"oil on canvas","100.5 x 75 cm / 39 1/2"" x 29 1/2""",painting
2399,623347,"STOKES, Louis","Starsong [maquette], c. 1980 (originally named Helix Evolve)",n.d.,wood,"53.3 x 121.9 x 10.2 cm / 21"" x 48"" x 4""",sculpture
2400,642644,"STORMS, Richard","Continental Drift",n.d.,"acrylic on canvas","107 x 305 cm / 42 1/8"" x 120 1/8""",painting
2401,640735,"STORMS, Richard","Untitled [maquette]",n.d.,"oil on masonite","30 x 65 cm / 11 7/8"" x 25 5/8""",painting
2402,100171,"STORTZ [or STURTZ], R.L.","Hon. Lawrence T. Pennell, PC, QC, LL D [Solicitor General, Justice of Supreme Court, etc. see `Other Details`]",n.d.,"oil on canvas","122 x 91.5 cm / 48"" x 36""",portrait
2403,618678,"STUBBS, Maurice Claude","Byzantine Still Life",1966,"oil on masonite","91.4 x 121.9 cm / 35.9"" x 47.9""",painting
2404,618679,"STUBBS, Maurice Claude","Rain I",1975,"watercolour on paper","38.1 x 56.5 cm / 15"" x 22.2""","work on paper"
2405,632634,"SURCOUF, Lorraine Joy","Winter Landscape",1982,"mixed media","80 x 120.6 cm / 31 1/2"" x 47 1/2""; frame: 99.5 x 140 cm / 39 1/8"" x 55 1/8""","mixed media"
2406,100065-02,"SUZHOU EMBROIDERY INST.,","The Humble Administrator's Garden [case for embroidery]",n.d.,"mixed media","11.8 x 58.5 x 97.8 cm / 4 5/8"" x 23"" x 38 1/2""","mixed media"
2407,100065-01,"SUZHOU EMBROIDERY INST.,","The Humble Administrator's Garden [embroidery, part 1 of 2] [Ontario-Jiangsu Twinning Accord]",n.d.,textile,"41 x 78.8 cm / 16 1/8"" x 31""",textile
2408,622109,"SUZOR-COTE, Marc-Aurele de Foy","The River Magog",1913,"oil on canvas","sight: 98.4 x 79.8 cm / 38 3/4"" x 31 3/8""; frame: 121.5 x 103 cm / 47 7/8"" x 40 1/2""",painting
2409,619970-02,"SUZUKI, Aiko","Untitled [maquette, part 2 of 3]",1977,"watercolour on paper","50.8 x 76.2 cm / 20"" x 30""","work on paper"
2410,619970-03,"SUZUKI, Aiko","Untitled [maquette, part 3 of 3]",1977,"watercolour on paper","50.8 x 76.2 cm / 20"" x 30""","work on paper"
2411,658632,"SWAN, Monica","Conservation Area - Sudbury",1990,"watercolour on paper","44.1 x 59.4 cm / 17 3/8"" x 23 3/8""","work on paper"
2412,632971,"SZEPIELEWICZ, Thaddaeus",Untitled,n.d.,bronze,"a) 52.7 x 15.9 cm / 20 3/4"" x 6 1/4""; b) 33.3 x 24.4 cm / 13 1/8"" x 9 1/16""",sculpture
2413,101100,"TAHEDL, Ernestine","Landrefraction X",2012,"acrylic on canvas","diptych; each panel: 152.5 x 50.6 cm / 60"" x 20""; overall: 152.5 x 101.6 cm / 60"" x 40""",painting
2414,100353,"TAHEDL, Ernestine","Pond - Jeux d'eau V",2005,"acrylic on canvas","142 x 91.4 cm / 56"" x 36""",painting
2415,625810,"TAPANILA, Betty L.","Between the Ottawa and the St. Lawrence",1975,"acrylic on canvas","76.2 x 183.5 cm / 30"" x 72 1/4""",painting
2416,625811,"TAPANILA, Betty L.","Summer Reverie",1974,"acrylic on canvas","107.3 x 122.6 cm / 42 1/4"" x 48 1/4""; frame: 110 x 125 cm / 43 5/16"" x 49 1/4""",painting
2417,101172,"TAYLOR, Rick","Markham Midnight",n/a,"acrylic on canvas","40.6 x 50.8 cm / 16"" x 20""",painting
2418,101174,"TAYLOR, Rick","Return to Emerald Bay",n/a,"acrylic on canvas","45.7 x 60.96 cm / 18"" x 24""",painting
2419,101173,"TAYLOR, Rick","River Light",n/a,"acrylic on canvas","45.7 x 60.96 cm / 18"" x 24""",painting
2420,101175,"TAYLOR, Rick","The New Centurions",n/a,"acrylic on canvas","50.8 x 40.6 cm / 20"" x 16""",painting
2421,633125,"TAYLOR, Robert R.","The Narrows [maquette]",1983,"acrylic on canvas","58.4 x 58.4 cm / 22.9"" x 22.9""",painting
2422,100420,"TCHETYSHOV, Rafael","At the Lake Simcoe",2006,"oil on canvas","51 x 41.2 cm / 20 1/16"" x 16 1/4""; frame: 57.8 x 47 cm / 22 3/4"" x 18 1/2""",painting
2423,101101,"TEICHERT, Alice","Story Teller",2007,"acrylic on canvas","139.8 x 114.4 cm / 55"" x 45""",painting
2424,619765,"TEMPORALE, Louis","Hunter with Seal",1966-1968,"black granite","182.9 x 121.9 x 121.9 cm / 72"" x 48"" x 48""",sculpture
2425,633123,"TEVLIN, Suzanne","George Etienne Cartier greeting John A. Macdonald on his arrival in Heaven before a host of eminent, deceased Canadians",n.d.,"acrylic on canvas","61 x 61 cm / 24"" x 24""",painting
2426,100103,"THIB, Jeannie","Untitled [maquette, diptych]",n.d.,"ink drawing","sight: 12 x 19.5 cm / 4 3/4"" x 7 11/16"" each","work on paper"
2427,640729,"THIBERT, Patrick","Untitled [maquette]",n.d.,metal,"43 x 41 x 13 cm / 17"" x 16 1/8"" x 5 1/8""",sculpture
2428,658633,"THOMAS, Cheryl","Environmentally Friendly?",1991,"watercolour on paper","34.9 x 55.6 cm / 13 3/4"" x 22""; frame: 55 x 75.2 cm / 22"" x 29 3/4""","work on paper"
